Scan,MMI,VI,TI
np_brain0_scaled,90,100,100
np_brain10_scaled,100,93,100
np_brain11_scaled,100,66,100
np_brain12_scaled,100,71,100
np_brain13_scaled,77,56,100
np_brain14_scaled,70,14,90
np_brain15_scaled,93,25,100
np_brain16_scaled,100,100,99
np_brain17_scaled,100,40,95
np_brain18_scaled,100,93,100
np_brain19_scaled,100,98,100
np_brain1_scaled,100,66,100
np_brain2_scaled,100,74,100
np_brain3_scaled,100,69,100
np_brain4_scaled,96,78,100
np_brain5_scaled,100,55,90
np_brain6_scaled,100,100,91
np_brain7_scaled,100,100,100
np_brain8_scaled,100,100,100
np_brain9_scaled,100,100,100