Filenames,MMI,VI,TI
np_brain0_scaled.tif,100,100,100
np_brain10_scaled.tif,100,100,100
np_brain11_scaled.tif,100,90,100
np_brain12_scaled.tif,100,100,100
np_brain13_scaled.tif,86,100,100
np_brain14_scaled.tif,84,55,100
np_brain15_scaled.tif,100,47,100
np_brain16_scaled.tif,100,100,100
np_brain17_scaled.tif,100,75,100
np_brain18_scaled.tif,100,98,100
np_brain19_scaled.tif,100,100,100
np_brain1_scaled.tif,100,84,100
np_brain2_scaled.tif,100,100,100
np_brain3_scaled.tif,100,100,100
np_brain4_scaled.tif,100,97,100
np_brain5_scaled.tif,100,87,100
np_brain6_scaled.tif,100,100,100
np_brain7_scaled.tif,100,100,100
np_brain8_scaled.tif,100,100,100
np_brain9_scaled.tif,100,100,100