,np_60H12_14E09_MB049B_020113B_scaled.points,np_52B07_52H01_MB262B_021713B_scaled.points,np_58E02_32D11_MB043B_021713B_scaled.points,np_13F02_52H09_MB010B_021713A_scaled.points,np_73H08_19F09_MB090A_021713A_scaled.points,np_58E02_87B09_MB045C_020213B_scaled.points,np_58E02_37E10_MB299C_021713A_scaled.points,np_33D07_10F07_MB033B_020613A_scaled.points,np_73F07_30E11_MB302B_022013B_scaled.points,np_13F02_52H09_MB010B_021713B_scaled.points,np_73F07_38E08_MB303B_022013B_scaled.points,np_73H08_55A07_MB243A_022013B_scaled.points,np_30C01_53H03_MB078C_021713B_scaled.points,np_73F07_38E08_MB303B_022013A_scaled.points,np_58E02_22E04_MB042C_020213A_scaled.points,np_13F02_34E04_MB006B_020413B_scaled.points,np_14C08_15B01_MB011A_020613B_scaled.points,np_14C08_15B01_MB011A_020613C_scaled.points,np_14E06_22B12_MB012B_020413B_scaled.points,np_58E02_32D11_MB043B_020213A_scaled.points,np_24H08_53F03_MB027B_020413A_scaled.points,std,mean
left thoracic nerve entry T2,1.02,0.65,0.65,0.91,0.65,2.1,0.46,0.65,2.2,0.46,0.46,0.65,2.2,0.0,1.44,0.46,0.46,0.65,0.65,0.65,0.0,0.59,0.91
right MB vertical medial lobe connection,0.46,2.75,0.46,2.47,0.46,0.91,0.46,0.65,0.46,0.46,0.46,0.46,0.46,0.65,0.46,0.0,0.46,2.59,1.65,1.02,0.46,0.77,0.91
right A7 nerve entry,2.0,4.0,2.05,4.23,2.05,6.09,2.0,4.03,2.05,2.75,2.86,1.02,2.25,2.1,4.03,4.23,4.03,2.1,4.13,4.03,2.1,1.21,3.05
right tip of vertical lobe,0.0,0.0,0.46,0.91,0.91,2.2,0.46,0.46,0.46,0.46,0.46,0.46,0.91,0.46,0.46,0.91,0.46,2.2,0.46,0.46,0.46,0.53,0.74
right basal brain neuropil border posterior,2.25,2.1,4.49,4.03,6.17,4.03,4.61,6.67,2.05,4.33,4.2,2.1,4.81,4.23,4.13,2.05,8.33,6.22,3.07,2.38,4.2,1.66,4.12
right thoracic nerve entry T1,2.05,0.46,2.2,0.46,2.05,2.25,2.25,2.0,2.05,2.1,0.46,2.05,1.02,0.65,2.25,1.02,2.05,2.05,1.65,2.05,0.65,0.68,1.61
Left MB vertical medial lobe connection,0.46,2.25,0.91,2.25,0.46,0.65,0.46,0.0,0.0,1.29,0.91,0.91,0.91,0.91,0.46,2.1,0.65,2.1,0.65,1.02,1.02,0.61,1.07
right upper peduncle,0.91,2.05,0.65,2.0,0.65,0.91,0.46,0.91,1.29,0.91,0.0,2.25,2.05,0.65,0.91,2.05,0.46,2.2,2.0,0.0,0.65,0.66,1.26
left thoracic nerve entry T1,2.1,0.65,2.05,0.65,2.05,2.05,2.47,2.0,2.05,2.05,1.37,2.05,1.44,0.65,2.05,0.91,2.05,2.1,0.46,2.71,0.65,0.68,1.65
right antennal nerve,2.05,2.42,1.94,1.44,1.37,2.2,1.02,2.2,4.05,0.65,2.05,1.65,1.65,0.65,5.3,2.25,2.2,1.02,2.2,2.0,2.0,1.02,2.01
left A8 nerve entry,4.13,4.44,2.1,4.1,2.25,4.61,2.2,4.05,2.2,2.86,2.1,2.71,1.02,2.2,4.05,2.86,2.78,2.59,4.1,2.59,2.47,0.96,2.97
right A8 nerve entry,4.4,4.23,2.25,4.25,2.59,4.13,2.59,4.23,2.47,2.2,2.05,2.38,1.02,2.38,4.13,2.2,2.86,2.2,4.13,2.25,2.38,0.97,2.92
end of ventral nerve cord,0.46,0.65,2.05,4.1,0.46,0.46,2.2,0.65,1.02,2.0,0.46,2.25,2.0,0.0,0.91,2.38,2.05,2.0,0.46,2.05,0.65,0.96,1.46
left upper most anterior nerve entry,2.75,2.89,1.29,2.33,5.72,3.66,6.02,0.65,4.13,2.47,6.92,8.95,2.86,4.76,5.44,3.42,2.46,4.25,2.59,4.23,2.75,1.91,3.84
left basal brain neuropil border posterior,2.2,2.25,4.23,4.25,6.42,4.1,4.87,6.09,2.71,4.42,4.42,2.1,4.33,4.49,4.33,2.0,8.01,6.09,3.17,3.17,4.33,1.52,4.19
left thoracic nerve entry T3,0.65,0.46,0.46,0.65,1.29,1.44,0.0,2.2,0.91,0.0,0.46,2.2,0.46,0.46,2.47,0.46,0.46,0.65,2.59,0.91,2.42,0.79,1.14
right thoracic nerve entry T2,0.65,1.02,0.91,0.46,0.46,2.0,0.91,0.65,2.05,1.44,0.46,0.65,2.05,0.65,0.46,0.65,0.46,1.44,1.02,0.46,0.91,0.53,0.94
anterior upper commisure,2.25,2.2,0.46,4.2,2.05,1.02,2.05,0.46,0.0,0.46,2.1,1.29,0.46,2.2,4.05,0.46,2.05,0.46,2.28,1.02,0.46,1.12,1.6
center SEZ neuropil fusion,2.05,1.02,1.44,0.65,4.85,3.04,4.13,0.91,4.1,2.0,4.03,3.04,2.1,4.03,4.7,2.59,0.46,4.05,2.05,4.13,2.42,1.36,2.75
left tip of vertical lobe,0.46,0.46,0.65,2.33,0.0,2.05,0.0,1.02,0.46,0.46,0.0,1.02,0.91,0.65,0.0,0.65,0.46,2.05,0.46,0.46,0.0,0.63,0.91
left antennal nerve,2.25,2.75,1.44,0.46,0.91,2.05,0.65,2.42,4.0,0.65,2.1,0.65,0.65,0.65,6.14,2.42,2.75,1.02,2.38,2.2,2.42,1.33,1.95
right anterior LON nerve,0.91,2.05,0.0,2.33,1.44,0.46,1.29,1.29,1.02,1.44,2.0,1.44,3.04,0.0,2.04,2.86,2.92,1.65,1.44,0.65,1.65,0.71,1.68
posterior upper commisure,4.03,2.38,2.1,2.25,2.05,0.65,2.2,4.23,2.0,2.25,2.42,2.05,2.47,4.13,1.02,0.65,4.85,4.85,3.48,2.1,2.25,1.2,2.59
right upper most anterior nerve entry,2.75,0.65,0.46,1.02,6.44,2.47,7.93,1.44,5.44,2.38,8.33,10.69,2.78,5.9,5.12,2.42,1.29,4.87,3.07,5.18,2.2,2.72,3.94
left A7 nerve entry,2.1,4.05,2.05,4.05,2.1,6.29,2.2,4.03,2.0,2.1,2.0,0.46,2.05,2.1,4.03,4.13,4.03,2.05,4.03,4.13,2.25,1.3,2.96
right A6 nerve entry,4.25,4.03,2.05,4.4,2.1,4.03,2.25,4.13,2.05,2.1,2.0,2.05,1.29,2.2,4.03,4.26,3.42,3.39,4.13,2.2,2.59,1.01,3.0
left upper peduncle,0.46,1.02,0.46,2.1,0.0,0.46,0.91,0.65,0.46,0.0,0.46,2.0,2.2,0.0,0.0,2.05,0.0,2.05,2.2,0.65,0.46,0.74,1.16
left A6 nerve entry,4.13,4.33,2.42,4.33,2.25,4.13,2.2,4.1,2.42,2.1,2.75,2.71,1.44,2.05,4.03,3.42,3.42,3.07,4.63,2.05,3.07,0.93,3.1
left anterior LON nerve,0.0,2.2,0.91,1.44,0.65,2.05,0.46,1.88,0.91,1.29,2.42,1.02,2.0,0.46,0.91,3.04,2.66,2.04,1.44,0.91,1.44,0.73,1.51
right thoracic nerve entry T3,0.0,1.02,0.0,0.0,0.46,1.44,0.46,2.0,0.46,0.46,0.46,2.05,0.46,0.46,2.42,1.02,1.44,0.65,2.86,0.91,2.0,0.77,1.17
